City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Singleton,AU,2020-07-07 21:51:58,-32.57,151.18,52.0,84,83,1.01
221,Popondetta,PG,2020-07-07 21:51:58,-8.75,148.25,76.17,84,15,1.41
222,Narsaq,GL,2020-07-07 21:51:59,60.92,-46.05,50.0,76,75,2.24
223,Vitim,RU,2020-07-07 21:51:59,59.45,112.56,58.01,89,33,3.02
224,Koumac,NC,2020-07-07 21:51:59,-20.57,164.28,70.02,64,0,7.74
225,Nome,US,2020-07-07 21:50:59,64.5,-165.41,48.2,87,90,5.82
226,Mantua,IT,2020-07-07 21:51:59,45.17,10.78,66.99,62,31,1.01
227,Qaqortoq,GL,2020-07-07 21:51:59,60.72,-46.03,50.0,76,75,2.24
228,Varnamo,SE,2020-07-07 21:51:59,57.19,14.04,46.99,92,8,8.55
229,Cockburn Town,TC,2020-07-07 21:51:59,21.46,-71.14,83.7,80,99,15.26
230,Nyagan,RU,2020-07-07 21:52:00,62.14,65.39,69.06,68,1,5.61
231,Gao,ML,2020-07-07 21:52:01,16.64,1.64,97.2,14,1,7.58
232,Bykov,RU,2020-07-07 21:52:01,47.32,142.55,62.6,88,75,6.71
233,Warri,NG,2020-07-07 21:52:01,5.52,5.75,75.47,91,100,6.17
234,Strezhevoy,RU,2020-07-07 21:52:01,60.73,77.59,64.4,93,71,2.24
235,Majalgaon,IN,2020-07-07 21:52:01,19.15,76.23,76.86,79,50,8.84
236,San Andres,CO,2020-07-07 21:49:14,12.58,-81.7,86.0,74,40,9.17
237,Porto Walter,BR,2020-07-07 21:52:02,-8.27,-72.74,78.76,85,100,2.24
238,Ferrol,ES,2020-07-07 21:52:02,43.48,-8.24,66.99,72,0,3.36
239,Sistranda,NO,2020-07-07 21:52:02,63.73,8.83,50.0,87,40,9.17
240,Salta,AR,2020-07-07 21:49:21,-24.79,-65.41,44.6,75,90,6.93
241,Beidao,CN,2020-07-07 21:52:02,34.57,105.89,64.2,59,0,2.26
242,Bridgetown,BB,2020-07-07 21:52:02,13.1,-59.62,86.0,70,40,9.17
243,Murgab,TM,2020-07-07 21:52:02,37.5,61.97,78.8,27,3,6.93
244,Sao Joao Da Barra,BR,2020-07-07 21:52:02,-21.64,-41.05,71.6,88,0,6.93
245,La Union,PE,2020-07-07 21:52:03,-5.4,-80.75,75.47,53,1,20.02
246,Were Ilu,ET,2020-07-07 21:52:03,10.6,39.43,58.14,64,98,9.31
247,Vradiyivka,UA,2020-07-07 21:52:03,47.86,30.59,60.46,86,100,19.35
248,Cabedelo,BR,2020-07-07 21:52:03,-6.98,-34.83,77.0,83,75,6.93
249,Kavieng,PG,2020-07-07 21:52:03,-2.57,150.8,82.67,77,6,11.9
250,Cocentaina,ES,2020-07-07 21:52:03,38.74,-0.44,77.0,62,0,2.35
251,Wukari,NG,2020-07-07 21:52:03,7.85,9.78,74.71,89,99,7.18
252,Alofi,NU,2020-07-07 21:52:04,-19.06,-169.92,78.8,78,75,9.17
253,Puerto Del Rosario,ES,2020-07-07 21:52:04,28.5,-13.86,78.8,69,0,16.11
254,Palmer,US,2020-07-07 21:52:04,42.16,-72.33,77.0,69,90,4.7
255,Dryden,CA,2020-07-07 21:52:04,49.78,-92.75,82.4,37,40,10.29
256,Fairbanks,US,2020-07-07 21:51:30,64.84,-147.72,73.99,40,1,9.17
257,Sungaipenuh,ID,2020-07-07 21:52:04,-2.08,101.38,64.42,96,99,1.28
258,Bengkulu,ID,2020-07-07 21:52:04,-3.8,102.27,75.04,87,100,5.32
259,Teya,RU,2020-07-07 21:52:05,60.38,92.63,57.4,90,97,3.4
260,Thinadhoo,MV,2020-07-07 21:52:05,0.53,72.93,84.58,70,55,6.44
261,Longyearbyen,SJ,2020-07-07 21:52:05,78.22,15.64,46.4,70,75,31.09
262,Aklavik,CA,2020-07-07 21:52:05,68.22,-135.01,55.4,62,75,3.36
263,Venosa,IT,2020-07-07 21:52:05,40.96,15.81,69.8,64,5,11.41
264,Lundazi,ZM,2020-07-07 21:52:05,-12.29,33.18,59.56,65,0,7.27
265,Bluefield,US,2020-07-07 21:51:19,37.27,-81.22,81.0,57,1,7.0
266,Vestmanna,FO,2020-07-07 21:52:05,62.16,-7.17,48.2,93,68,9.17
267,Padang,ID,2020-07-07 21:52:06,-0.95,100.35,76.91,81,100,1.19
268,Riyadh,SA,2020-07-07 21:47:13,24.69,46.72,93.2,15,0,5.82
269,Lebu,CL,2020-07-07 21:52:06,-37.62,-73.65,51.6,90,100,20.22
270,Muravlenko,RU,2020-07-07 21:52:06,63.79,74.52,68.25,71,95,13.67
271,Cap Malheureux,MU,2020-07-07 21:52:06,-19.98,57.61,71.01,88,21,7.0
272,Whitley Bay,GB,2020-07-07 21:52:06,55.04,-1.45,55.0,76,99,0.6
273,Puerto Cabezas,NI,2020-07-07 21:52:06,14.04,-83.39,87.8,79,75,6.93
274,Katherine,AU,2020-07-07 21:52:06,-14.47,132.27,55.4,62,75,5.82
275,Bambous Virieux,MU,2020-07-07 21:52:07,-20.34,57.76,71.6,94,75,11.41
276,Waingapu,ID,2020-07-07 21:52:07,-9.66,120.26,74.46,85,7,10.31
277,Hit,IQ,2020-07-07 21:52:07,33.64,42.83,94.66,14,0,12.88
278,Kathmandu,NP,2020-07-07 21:52:07,27.72,85.32,71.6,94,75,3.36
279,Springbok,ZA,2020-07-07 21:52:07,-29.66,17.89,48.85,60,0,14.72
280,Solnechnyy,RU,2020-07-07 21:52:07,50.72,136.63,51.62,92,100,8.75
281,Winnemucca,US,2020-07-07 21:52:08,40.97,-117.74,84.2,13,1,13.87
282,Beboto,TD,2020-07-07 21:52:08,8.27,16.94,71.22,95,82,2.06
283,Comodoro Rivadavia,AR,2020-07-07 21:48:12,-45.87,-67.5,41.0,64,40,10.29
284,Chokwe,MZ,2020-07-07 21:52:08,-24.53,32.98,68.7,66,0,15.55
285,Rundu,NA,2020-07-07 21:52:08,-17.93,19.77,57.2,28,0,4.7
286,Udachnyy,RU,2020-07-07 21:52:08,66.42,112.4,46.4,93,90,6.71
287,Sao Miguel Do Guama,BR,2020-07-07 21:52:08,-1.63,-47.48,74.23,93,28,2.46
288,Faya,SA,2020-07-07 21:52:08,18.39,42.45,69.8,68,99,2.66
289,Buta,CD,2020-07-07 21:52:09,2.79,24.73,70.75,95,97,1.3
290,Ostrovnoy,RU,2020-07-07 21:52:09,68.05,39.51,56.3,70,68,14.14
291,Half Moon Bay,US,2020-07-07 21:50:59,37.46,-122.43,82.99,46,5,10.29
292,Tucuman,AR,2020-07-07 21:51:55,-26.82,-65.22,51.8,53,95,4.7
293,Darhan,MN,2020-07-07 21:52:09,49.49,105.92,63.75,88,17,3.02
294,Amla,IN,2020-07-07 21:52:09,21.93,78.12,73.72,93,91,5.39
295,Hambantota,LK,2020-07-07 21:51:10,6.12,81.12,78.8,94,100,3.36
296,Kilindoni,TZ,2020-07-07 21:52:10,-7.91,39.67,78.08,82,42,19.15
297,Prescott Valley,US,2020-07-07 21:52:10,34.59,-112.33,96.01,10,1,21.92
298,Moose Factory,CA,2020-07-07 21:52:10,51.26,-80.61,78.8,69,40,3.36
299,Morondava,MG,2020-07-07 21:52:10,-20.28,44.28,69.4,58,0,5.14
300,Samarai,PG,2020-07-07 21:52:13,-10.62,150.67,78.49,85,84,15.39
301,Kambia,SL,2020-07-07 21:52:13,9.12,-12.92,76.35,93,56,4.79
302,Isangel,VU,2020-07-07 21:52:13,-19.55,169.27,71.6,83,90,3.36
303,Camacupa,AO,2020-07-07 21:52:14,-12.02,17.48,48.67,47,0,3.2
